P	Barcelona 20 grados, solecito... Que maravilla!!!
NONE	En @Captura ANDREU BUENAFUENTE (@Buenafuente) _ mujer pastel http://t.co/3acRpp77
P	“@AberronchoTV: @David_Busta te mando un saludo de cántabro a cántabro, un abrazo.”ABERRONCHOOOOOO!!! Abrazo!
NONE	Nada como unos rollitos de vez en cuando http://t.co/5HJJprCZ
P	@GUTY14HAZ  gracias amigo!!!! Enhorabuena por tu futura boda te deseo lo mejor!
N	Y ahora, volvamos a la realidad... ¡ay Venezuela! Como me has hecho llorar desde lejos... con que tristeza digo que yo soy venezolano.
N	En el blog: Un Gobierno despolitizado http://t.co/u1gAB1OQ
N	RT @MOvidio73: @sevillajordi Hay un problema de comunicación,no de código sino de sintonía. La política se aleja cada día más del ciudadano.
N	"Montoro dice que pide ""un esfuerzo pequeño de muchos"" con la subida de impuestos. Y defiende los impuestos ""a la propiedad"". Ver para creer"
N	".@marianorajoy "" España se enfrenta ahora a una situación de extrema dificultad. Y el que no quiera darse cuenta se equivoca """
N	Con la agitada vida erótica de Isabel Pantola, según T5, no sé cómo ha tenido tiempo para grabar discos.
NEU	@mscha14 @andreavasro Awww... de mis niños llorones favoritos!
P	Ustedes siempre han sido lo más bonito de mi año. Anita y Amaya
P	Brillante artículo en ABC de Ignacio Camacho sobre Mingote.  Un español tan claro http://t.co/iT4WogeJ via @abc_es
P	@EntelPeru ningún inconveniente. Excelente servicio! 4G al máximo... Felices fiestas navideñas
N	Desprecio a las leyes..El TSJA anula la integración del personal de Egmasa en la agencia del enchufismo http://t.co/c3X2Sq0w via @elmundoes
P	Los días pasan y cada salida es tan genial a tu lado Eres lo máximo y lo mejor que me ha pasado este año.
N	Esto opina el partido? “@PSOE: Con una candidata podemos ir a peor. Y con el otro no vamos a ninguna parte. ¿Qué ha pasado con la cantera?”
NEU	No sé si permitir a @EspejoPublico que saquen mi imagen o les meto un burofax.
P	Retuiteada estás “@Estrella_CM: Ya soy chica #orbyt...!! Acabo de darme de alta aprovechando la oferta hasta mañana! No lo dejeis pasar!!
N	"Este año han muerto 17 militares #OTAN por ataques de fuerzas ""amigas"". Ls talibán los asumen, pero ISAF dice q son ""problemas personales""."
N	Sesudos análisis en la prensa sobre Matas, político corrupto y corruptor de mayores. Pero apenas veo sobre periodistas 'sobrecogedores'
P	"El actor Juan Luis Galiardo nos visita en @giraldatv,un grande de la escena en #sevillahoy de gira con ""El Avaro"" de Moliére"
NONE	Si quieres un móvil nuevo, te lo compras  http://t.co/nSaNYyek vía @el_pais
P	Un abrazo para los compañeros de @Publico_es
P	Por qué me gusta más tu personalidad que cualquier espalda ancha 
P	OS ANIMO A PARTICIPAR/US ANIMO A PARTICIPAR-HI  #maratotv3 http://t.co/VktqAeck
NEU	@Adriansoler espero y deseo que el interior te cause lo mismo 
NONE	Venancio Blanco, patrimonio Salamanca y su provincia. Esta tarde, 20,30 horas en el Liceo, el documental de su vida. http://t.co/kgMvwbmZ
NEU	@omarvch @plazavea yo hace un momento literal
N	Volviendo de Cangues mareado como un pato ¡ Qué carretera !
N	Lavrov,FM de Rusia,en Damasco.Puede reparar el error politico de ayer.El mundo Arabe contra Rusia
P	Calidad y libertad en la educación pública como señas de identidad del gobierno del cambio http://t.co/SD8uhNIb @javierarenas_pp
P	Gracias a ti. Un besazo RT @carmencarterPTz: @AlejandroSanz Me hiciste el dia, la noche y el mes...GRACIAS excelente concierto ♥
N	Comienza la presión. Activistas antiaborto se manifiestan a la puerta de La Moncloa el día del primer consejo de @marianorajoy y @Sorayapp
NONE	En las afueras de Moscú el termómetro ha llegado a los 36º bajo cero, una marca récord desde que en 1879 empezó a medirse la temperatura
N	Hay una exposición de cuadros y uno de ellos está estropeandose por el agua del aire acondicionado que le cae encima 
N	Al menos 1muerto y 2heridos x la explosión d una bomba adosada a un coche en una plaza del norte de Teherán,cerca d la Universidad (PressTv)
N	Que tipo de empleo se ha creado en US ultimos años ? Lecciones a sacar http://t.co/9P9Q4El5
P	". @javierarenas_pp "" conmigo no habrá ni un solo euro que se gaste sin la firma de los funcionarios de la Junta de Andalucía """
NONE	"@virginiadlp ahora es cuando tomo mis notas y comienzo a hacerle preguntas a mi nueva ""hija"" "
N	Con el pollo que montaré mañana verás como no.“@merpiera: @antoniocamunas siguiendo una lógica aplastante, en verano la oferta será a 40€!”
P	Ahora! Q trabajito RT @europapress_es: Rubalcaba, elegido nuevo Secretario General del PSOE #38CongresoPSOE  - http://t.co/mGql24My -
N	"Toxo a Rajoy: ""No se puede arruinar tres décadas de diálogo social sin pagar las consecuencias""."
P	@sanchez_sonia @sgueina @cesar_cabo @latanace @sarasolomando @kohayama @alejandramarpor gracias Sonia, salud compañera ✊✊✊
NONE	@PUUNISSHER @KingKongJulen @xCoorsa @Yuniiiiitoo @YouTube oye corsa  que yo no he jugado contra puni en lan
N	@Boardgametotal los ábacos si están permitidos. Sobre todo porque la mayoría no saben usarlo 
P	El tema del CHARE de Vejer es muy serio no solo por no estar abierto, sino x la deuda q la Junta mantiene con la E. adjudicataria desde 2011
NONE	@MemesDelPeru tal cual csm @ClaroPeru hazte una y alarga la vigencia del 4G ilimitado
P	Aunque pensaba que no podría hacerlo hasta el mes de octubre, el lunes próximo volveré a ver a mi familia de #Mataró *.*   #felicidad
P	"RT @RM_Team  El episodio de #Glee ""The Spanish Teacher"" sale al aire este 7 de Feb, 8pm EST en FOX! No C lo pierdan! http://t.co/l9U1nMNJ"
P	Yo ya me siento en vacaciones y aún me faltan 4 exámenes finales
P	@ushcala Esa es otra buena idea. Aunque la dinámica de él a sus 9 y la mía esa misma edad es muy distinta.
P	Consejo de Gob: aprueba gasto para ayudas de pago único, programas desarrollo rural... por más de 500 mill € para este año (1)
NONE	@Yoker_CelCast Yo estoy seguro que si, solo que no te lo han dicho aún
P	#Barçacampiódelmón Con 9 chicos de la cantera!
P	"#Rajoy ""Mi convicción es que los frutos llegarán si desterramos la improvisaciones,evitamos los bandazos y somos tenaces en las medidas"""
NONE	Buenos días a todos! Así amanece Madrid: http://t.co/iudGmMiv
P	Ericcson creará 200 empleos con un centro de redes en #Malaga  http://t.co/MyRzHNYQ
NONE	Preguntas para nuestro invitado? Hoy en #losdesayunosdetve el presidente de los empresarios Juan Rosell....
P	¿Qué tal está siendo vuestra experiencia como usuarios de las películas gratis en Orbyt? Yo he visto ya alguna escena de las 7 primeras.
NEU	El PP no aceptará la eliminación del «humanismo cristiano» en su ideario - ABC.es http://t.co/qsMzQw0t via @abc_es
N	@ticotraveleando ingrato, solo porque usted sí
NONE	ayer me dio mi dio mi ataque de panico retrocedi a cuando tenia 5 años, me despertaba sola en cama y comenzaba a gritar pq no habia nadie
N	Desde que en julio de 1988 empecé a trabajar en ABC, hoy es el primer día sin #Mingote
P	Un gran acierto d @jorgefdezpp el nombramiento d @Ignacos como nuevo Director Gral. de la Policía: un puesto central en democracia
NEU	Es bueno que T5 haga programas de debate político de mucha audiencia aunque tal vez deba ajustar un poco formato e invitados #elgrandebate
P	GRACIAS. Por seguirnos en #cabalgatagtv dsd medio mundo.Amigos d @giraldagtv nos siguieron el pasado viernes desde ¡¡62 países!! #sevillahoy
NONE	"Mi columna de esta semana en El Mundo de la Comunidad Valenciana. "" De silencios y fútbol"" http://t.co/2XV7uQAF"
P	He aquí la foto con @pedroj_ramirez ;-))) en el acto del premio a @elmundo_orbyt . Q maravilla escucharlo y conocerlo http://t.co/BleDlKQS
NONE	http://t.co/zQEyoKSx
NONE	ALLÍ NOS VEMOS!!! Madrid,19 de enero: Acto de presentación del Aula de Liderazgo Público http://t.co/gMbBaXoY vía @masconsulting
NONE	Portada El Faro de Melilla http://t.co/CBRjsRKb ...
NONE	@Fgarea tiene sentido, anda que no tiene curro x delante
NONE	@_Rubalcaba_ en Roquetas de Mar: en el fútbol el 2 tiempo es fundamental, en campañas electorales la 2 semana es clave http://t.co/3MZ5Kxdz
NEU	Ahora 17personas concentradas en portal iglesia Elorrio para respaldar asesinos ETA.Gracias a dios cada vez son menos http://t.co/RojVi5DM
P	Un jurado popular declara no culpable a Francisco Camps en el caso de los trajes.Ricardo Costa también ha sido absuelto de cohecho impropio
N	Tres años de instrucción, uno y medio de suspensión del juez Garzón, para al final concluir que no hubo nada¿ Justicia o linchamiento?
NEU	Long day!Photo sessions! Dia largo. Sesiones de fotos. http://t.co/lwgHwc6H
P	Buenos días mujeres trabajadoras! No os perdáis hoy (tod@os) la historia de Tara en #losdesayunosdetve ....
NONE	Y hoy después de tanto tiempo me acorde de ti . Ya no se puede retroceder el tiempo solo caminar pa' lante
N	Harvey no la soporta. Dice que no se puede hablar con ella. Que enseguida se lo toma todo como algo personal.
P	Feliz día a los padrazos @eliasbendodo @carlosmconde @JuanMa_Moreno @oblader . Cada día conciliando mas ;-)
NONE	Cena con mís hermanas (@ Burguer La Sonrisa) [pic]: http://t.co/AipytA2j
N	Ya no tengo capítulos de Juego de Tronos para ver. Me siento vacía. 
N	Qué susto tiene la izquierda con la posibilidad de ir a la cárcel si malgastan y despilfarran el dinero de nuestros impuestos!
P	Voy de camino ;-))) RT @Charodona: @mariviromero vendrás a las jornadas #conojosdemujer ?
N	"AMAIUR en el Congreso: ""Se demanda afrontar las consecuencias del conflicto. Hay q empezar acercando presos"""
NONE	DGT prevé 4 millones de desplazamientos desde hoy,hasta la medianoche lunes,por Puente de San José. El lunes es festivo en 6 CC.AA y Melilla
N	Que tu primo te llame tan tempranito para que lo ayudes que esta detenido en la comisaria no tiene precio #muerodesueño
NONE	@denisfmendez @anordestado @Cascarelo @GzWika Ponferrada, ya no soy gallego 
NONE	http://t.co/v0u6wYVO
P	En @tuitrafico encontraréis información del estado de las carreteras. Está muy bien
P	Con el club de fans en Torrevieja http://t.co/aU8lcsaT
N	La lluvia definitivo que no me tiee piedad cuando ando en bus
P	#AMAsTNT @BrunoMars abriendo los AMAS guao!!! , esperando a @ladygaga queen !!! Peru
P	Quiero mogollón a @AlbaBenito99 pero sobretodo por lo rápido que contesta a los wasaps 
P	Vamos a por #YesWeSpainISDIFFERENT !!;) jueves!!!;)))
P	Y el que no tenga planes #AGaliciaEnSemanaSanta... porque es una maravilla y se come de lujo
NONE	Ser valiente no consiste en no sentir miedo, sino en sentirlo y aún así continuar adelante.
P	150€ más el vino “@EVA__MARIA_: @pedroj_ramirez ¿ Cuanto es razonable ? Ejem. Para dos personas #gracias”
P	"Emotivo el email que me acaba de llegar desde Facebook: ""Tus amigos quieren que vuelvas"". #esoyamelodiranellos"
N	"Sinceramente, estoy observando la zona de "" recreo"" psiquiátrica del H.Civil y es patético lo que veo http://t.co/vE8BhpJs"
NONE	RT @MartinChamoso: @BasesenRed Certera descripción, suscribo como militante PSOE #BasesenPie @sevillajordi http://t.co/g16UlxFm vía @el_pais
P	En la campaña escolar de educación vial en la que participan 3.700 niños de 62 centros, promovida por el @AytoLogrono http://t.co/D0vbef7J
N	Maleducado,perdón.El representante del Congo retira la mano cuando se acerca a la princesa de Asturias http://t.co/upsmUNpR vía @antena3com”
P	Feliz dia del voluntario... Los hËroes anónimos... Los del sacrificia por eleccion propia. Gracias por tanto.
NEU	Hoy se constituyen las Cortes d la décima legislatura. Ademas escucharemos la reacción del abogado de Urdangarin.  #losdesayunosdetve
N	Pero que poco me gusta Sostres... Poco no, nada.
P	Queremos potenciar y estimular a los mejores alumnos. Será impartido por profesores funcionarios.
P	(2) ayudas a productores cultivos superficies, vacuno, lácteos, frutos cáscara, pago único, ovino/caprino, tabaco...
N	Por cuanto tiempo mas puede retrasarse la tasa transacciones financieras?  http://t.co/EoXPchdb
N	Curioso. Al de Amaiur no le han aplaudido ni los suyos
N	@Jorgeoneer ya pero no soy mucho de pc. No es muy potente el mío 
NONE	Reunión de planificación campaña #elcambioandaluz (@ Partido Popular de Málaga) http://t.co/v1VhSSp8
P	y la igualdad de #oportunidades para conseguir mejorar los niveles educativos de la #Comunidad Autónoma
N	Yo mientras, ligando con la madre del director de #Jackysugemela (sin éxito) http://t.co/G7Uk2WPH
NEU	1er día del 2017 entrenando... Este horario es de ptm lamentablmente sólo es una ilusión #bodytech
N	@aitor48 Prohibirlo, no. Se pueden hacer campañas, pedagogía... y no aplaudir como están haciendo muchas pseudo-feministas  @ladypalo
N	Madrid Espacios y Congresos, una empresa dedicada a centrifugar la deuda del Ayuntamiento de Madrid. http://t.co/kSOLyme5
NEU	@tatisalvaradop Mañana si me duermo en la oficina le cuento para que se sienta culpable *busca el cofal y las pantuflas* Bonita noche
N	Ha muerto FRAGA. DEP. pero los democratas de carnet no respetan ni un dia de luto a uno de los padres de la Constitucion.
NONE	Organizaciones de Derechos Humanos piden al TS que no obvie el derecho internacional en el #juicioGarzón por la memoria http://t.co/7wCFa5kS
P	@bluesofu noup tu corazón es de oro ese no hay y aparte es único nunca podrían crear uno igual 🤷‍️
NONE	@FotoCalato @cinencuentro gracias por apoyar al cine hecho en las regiones
P	#Andalucía recibe el premio al mejor stand de CCAA de #Fitur. Prueba de que nuestro sector turístico sigue al alza. Enhorabuena.
P	Creo que el Valencia CF mereció ganar esta noche, pero hay esperanza en el próximo partido en Barcelona #creenlafinal
P	@CoAnSh_ pero no a la que duró toda la vida Y ves @chao_luna , mamá es una buena mamá ️
P	El equipo de El PAIS y POLITICA ya esta instalado en el 38 Congreso del PSOE para contarlo todo. Empieza la función ... http://t.co/cp85vblf
NONE	El ritual #saisoibelearmatiropun
P	Felices Reyes, incluso para aquellos que solo se merecen carbón. En una noche como esta, llena de ilusión, hay que ser generosa con todos
NONE	Amigas normales? Eso que es? Las mias son unas locas toditas *-*
P	Moderación, humildad, sencillez, transparencia, participación y respeto a los demás es lo que se respiraba en el #17CongresoPP ;-))
NEU	"Entran a la oficina y dicen ""Sólo les voy a pagar a las que no vienen con escotes pronunciados""."
P	@julia_otero @radiocable Hay un laboratorio muy serio en Cantabria q elabora cremas con baba d caracol, q se usan post-quimio
P	@SparkGuns @JuanetedeLolo Cuando sea mayor de edad y mi viejo me deje tomar con adultos, jajajajajajajaja
NEU	"Guau""@Suanzes: Informe Gobierno Corporativo d SAN Remuneración de los consjeros: €40 millones. Retribución fija: 11 millones.Variable: 21,8”"
N	Él es un claro ejemplo de pendejo.
N	Presentamos ahora una moción en el #plenoMLG para solicitar que se haga ya el Centro de Salud de Gamarra , prometido desde 1986 x la Junta!
P	Aguirre partidaria de q el Estado  asuma Sanidad, Justicia y Educación. Esa sí es una medida lógica! @marianorajoy  http://t.co/b9O9yrFU
NEU	Tras un rato en twitter habéis conseguido que me entren ganas de ver un anuncio de Loewe. Afortunadamente creo que sabré reprimirme.
NEU	Mi noche no está completa si no veo el vlog de @elcholomena , creo que no subió hoy
NEU	Hoy pleno a las 09.00 y por la tarde intervención en la comisión de igualdad como portavoz de  @UPyD
N	El copago no es copago, es repago. (Se paga con impuestos y luego de forma inequitativa)
N	@AdriMarinaB Así me gusta, cada cosa a su CCAA. Así dejamos de cargar las culpas a nuestra querida nación. 
P	WORK FROM HOME!! Sería espectacular y poder verlas más!  #ConMTVal727Tour
NONE	Hola! Bunos dias a todos! Q me cuentan?
N	La luz doméstica sube un 7% #pge
NONE	Mañana se cumplen 200 años de la Pepa. Os dejo mi carta de hoy http://t.co/KcaA1XWn
N	Candidato d IU hablando d la mujer d las tetas gordas(x la delegada  d educación)Alguien ha oído a las feministas quejarse?Si fuera del PP..
P	".@JuanMa_Moreno : "" vamos a formar a proteger los derechos de las personas de mas de 80 años que son un 5% de la población en España"""
NONE	Amis @EzioOlivaFans, el Sáb. estaré en Chimbote x chamba y quiero saber si el chinito bello cantará en evento o privado, para ir
NONE	Alguna buena moza que me diga a qué hora y qué días echan Teen Wolf 
P	Pedazo de musical#muyrecomendable#inclusoparanosabineros http://t.co/LwVSyTCB
N	Rubalcaba sigue ofreciendo apoyo light a la manifestación sindical del domingo. ¿Nadar y guardar la ropa? @TelediarioInter 20:30
N	Mandame mensajes de amor que me quiero sentir querida al despertarme que estoy muy sad 
N	Castellón: aeropuertos sin aviones, institutos sin calefacción y alumnos represaliados. Tremendo todo http://t.co/ivZsa0ok
P	Esperando para animar a mi sevilla fc! Vamos sevilla!!!!!
N	Extraño a mi mejor amiga carajo díganle pe
NEU	@mhariprada Por lo menos lo tenes ahí. No me acuerdo la última vez que yo vi al mío (amo esa canción, btw)
N	La historia de El Rafita es la mejor demostración de que hay que cambiar la Ley del Menor y penalizar más la reincidencia
N	7 muertos, 2 heridos graves y 6 leves este fin de semana en accidentes de tráfico, desde las 15h viernes hasta las 24h domingo, (DGT).
P	Hoy ha sido (aún es) el cumpleaños de @iescolar No creas que iba a acabar el día sin decirte Feliz Cumpleaños!!
NONE	Voy a verme ahora con la Federación de sociedades musicales de la Comunidad Valenciana
N	Mañana me veré las que faltan, pero la mejor de la noche no ha sido Britney vaya  Me ha decepcionado
P	Lo que has de hacer, hazlo pronto “@rafiln: @isangeis pues mira... Cuando me lea EPN de @pedroj_ramirez me lo leeré. :) jaja!”
P	@tomasin_zgz ¡Hola Tomás! ¿Habéis visto los nuevos #dinos de #TierraMagna? Es normal que haya colas antes de que comience el espectáculo 
N	Garzón califica la sentencia de injusta y considera q el Supremo impide la investigación de la corrupción. Y la prevaricación Baltasar?
NONE	JUAS ahora dicen que la paja se la van a hacer con Tracer y su novia. Porque siempre se puede caer más bajo aún ¿no?
P	Un placer! ;-) RT @los30tuiteros: Vemos a @Cepeda, habitual en nuestro ranking, en la sesión extraordinaria de #iesecampañas
NONE	Gracias a todos por regalarme sus comentarios a mi columna de hoy. Invaluable obsequio para mí.
N	@SheWolf_byu ni me lo recuerdes pero eso no cambiara por los siglos de los siglos
P	Me gusta: http://t.co/CSb5a414
N	@Debbiesape Falta que te acostumbres más seguro p, salir de día es un suicidio
P	En sevilla ratificaremos nuestra condición d lideres y mañana neymar nos hara disfrutar mucho
NONE	Dibujé a Chikorita (mi pokemon fav) y lo malogré con 'mi técnica de pintar con acuarelas'...tmr!
P	Recuperar la confianza http://t.co/zbhIQvFX via @el_plural
N	@cayo_lara has pedido perfon por quitarle derecho a voto a los paraplejicos? Desafortunado simil cuanto menos
N	Carta de los corresponsales en España a @marianorajoy para reclamar una mejor atención a los medios de comunicación http://t.co/kd44Ne2q
N	que te echo de menos cosa chicaa!   https://t.co/9QIk0GIVzO
P	Hoy d vuelta a casa,han sido 3 días para conocer a mi equipo, al jurado y 100 concursantes!Solo contar q anoche m dormí llorando d alegría!!
P	Gracias :-) RT @francarrillog: @ccifuentes Ayer me preguntaron por ti en este reportaje. Un saludo y ánimo con todo http://t.co/Akx8VzCb
N	Me voy a dormir, escuchando cantar al gallo que tiene mi vecino en la sierra... Esto no es por las mañanas????
P	@yuyacst Holaaa yuya hoy es mi cumpleaños PODRIAS MANDARME SALUDOS? Por favor me harias muy feliz
NEU	@elhigadodmarita me agarran de buen humor por fin de año.
P	Buenas noches FAMILIA!!! mañana a disfrutar del sábado! 
NONE	hace mucho no e tenido que ver mi nombre en otras cuentas por que sera? a cierto yo le dije que no lo hiciera Gracias por hacer caso
NONE	Bueno pues ya decidí que iré a Meneo para Halloween y me invitan al día siguiente a 3 master class en el gimnasio a partir de 10 am
NEU	@LleonardPler ¡Ya ves! Eso es fundamental 
NONE	Hasta mañana a todos... o hasta dentro de unas horas más bien.
P	El secreto para que una dieta funcione es decir la verdad http://t.co/KYbcujuT via @elmundoes #chatidieta @mariarojo82
NEU	Garzón, hoy en el banquillo por las escuchas a abogados de Gürtel ¿Creéis que será condenado?
P	Buenos días amigos!!;) y una vez más, GRACIAS por vuestro cariño!!!;)))
P	Es que son muy bonitas jo 
NEU	"@TheLordOfKai por eso he dicho ""casi"" como método sutil de aproximación "
N	Si está claro, la culpa es mía 
P	Muchisimas gracias ;-)))) RT @anaroski: @mariviromero @mamenpedemonte ¡Enhorabuena!
P	Jajaja.. Que chalao. RT @PARTISAN0: @AlejandroSanz te gusta el coche último modelo que me acabo de (cont) http://t.co/rYvY5zyO
P	A todos los que me habéis escrito sobre el artículo que he dedicado a mi padre http://t.co/kdOWn4Oc muchas gracias. Tu padre siempre fue tú.
NEU	Cautos los Brasileños.Ahmadineyad mejor mantenerlo a distancia en estos tiempos.Venezuela,Cuba,Nicaragua y Ecuador.Toda una apetura.
NONE	Hoy Pleno de Enero @malaga #plenomlg (@ Ayuntamiento de Málaga w/ @jesusespino) [pic]: http://t.co/Yt5dHpdd
N	El nuevo Presidente Alemán. : no soy superman. http://t.co/8rzgIvMt
P	@LimaAventureros q buen se oral !!!! Me encantaría sentir esa boquita recorrer mi pn erecto
NONE	Camino de Madrid para asistir al debate de investidura de Mariano Rajoy en el Congreso.
P	Empresarios e investigadores defienden el conocimiento y la I+D como vía de salida a la crisis #Malaga @diario_sur http://t.co/20opsNqP
P	"Sin ser fan de Juan Gabriel, siempre supe que era una fuerza de la naturaleza. Hoy escuché ""Querida"", y me dio una ternura enorme."
NONE	... e incluso al 12% de -arrf unm auo mmg ggn-
P	Interesante la tribuna de José Manuel García-Margallo sobre la cumbre de la UE http://t.co/yOgK9V0l
NONE	Paradita pequeña para café antes de seguir (@ El Carmen) [pic]: http://t.co/lYltvzu4
P	http://t.co/yVq45LM7aquí podéis encontrar las fotos de mi segundo concierto en el gran teatro de Córdoba. @lya_cordoba y #Queco.
NONE	@Jimmyenlanada @RobustControl @lito0404 y bueno si me olvido de alguien pues lo lamento, soy mal amigo. Feliz noche.
NONE	http://t.co/6HJXvcCA SALAMANCA!!
NONE	Urdangarin a su llegada al juzgado ://www.larazon.es/private/admin/mediateca/multimedia/111751 video de r.COARASA.
P	Para nadaaaa... Sabeis que no es asi. A veces no coincidimos, es todo. Os mando mucho cariño,RT (cont) http://t.co/NWQIgoK5
P	Gallardon y Elvira Rodriguez se besan en el pasillo del Congreso. Levantan casi tanta expectacion como si ya fueran ministros #investidura
N	El gran perdedor del Congreso del Psoe http://t.co/rJrXq3An
N	Fuerte abrazo a @caraamable, que ha sufrido en sus carnes la acción de los piquetes 'informativos' por hacer su trabajo #mafia #intolerancia
NEU	hahahahahahahahah “@Alejandro_vara: Leo que RTVE se niega a ser auditada por el Gobierno PP. Imagino que esto no puede ser cierto.”
N	¡Mamá, el colegio está en ruinas! http://t.co/ZmQTaK2D
P	Buenas noches... Mañana en @El_Hormiguero !!!;-)
NONE	"Que es el ""BarçaGate""?"
NONE	clrealy no es una indirecta 
P	Gracias a ti ;-)) RT @EvenCon2Tacones: #FF @Gemmadelcorral @mariviromero gracias por el abrazo de ayer senti todo vuestro cariño GRACIAS
N	Los minijobs me parecen un horror, no son una solución mágica. El problema de España no está en la reforma de su mercado laboral
P	@AracelyPeri @AlejandroSanz @CorazonesPeru #girasiropevivo con nuestro Chan hermoso
NONE	@car_hidalgo lo hacen a diario. Hoy es más palpable por la emergencia. ️
NONE	Mucha actividad este domingo.La candidatura con Trinidad Jiménez de portavoz ha analizado la cumbre europea de mañana. http://t.co/30kKOvLj
NONE	@lauritasole Yo una vez le dibujé unos corazones a mi profe de inglés en el examen final. Igual me jaló
P	Que partidazo del Bilbao contra el United. Felicidades.. ;)
N	""" los socialistas han multiplicado por 5 la deuda publica en #Andalucia "" @javierarenas_pp #elcambioandaluz"
NEU	@Juanjok Mira q me gustaría, Juan, hablar contigo con emoticonos, pero está visto que ntros móviles no son compatibles! 
P	Empezar el día riéndose!!! Muy fan!!! @siamanecepunset @_RobertoSanchez @siamanece
N	No puedo evitar emocionarme al escuchar a @AlfonsoAlonsoPP hablar de las victimas del terrorismo... el sabe lo q es luchar x la libertad
P	La verificación de los asuntos públicos ya no será una mera recomendación ética, sino “una obligación jurídica” con su régimen sancionador.
NONE	@ikutram @tocamates @CarmenAgustin , y otros que seguro se me olvidan, también os puede interesar para vuestro instituto o facultad univ. 
NONE	@ManuelDezGalian no, pero a las 7:10 si 
P	“El Número Uno” confirma su éxito y gana otro ajustado duelo a “Gran Hermano” | Vertele http://t.co/h8DYkn3l vía @Vertele
N	Gobierno de Asturias en el aire. El órdago de Cascos se enfrenta ahora al escaño 17 logrado por el PSOE (voto emigrante)
NONE	Mercado laboral. http://t.co/drPXzzym
NEU	Nueva subasta bonos y obligaciones del Estado.Según estimaciones dl Tesoro,el importe mínimo previsto 2500 millones e,máximo 3500 millones e
P	Hoy hemos firmado un convenio con el Ayuntamiento y la Diputación de Granada para dar Teleasistencia a mas de 9000 mayores granadinos.
NONE	#malagaconabraham  http://t.co/aqbfkKvw
NONE	@sancarlena77 @miguelpintor05 @demalaspalabras sip, te entendí por tu tuit anterior
P	"Secrt. genral OCDE le dice a Rajoy que España ha dado un ""mensaje importante y un ejemplo en materia económica con clara voluntad política"""
N	Mikel Laboa me arranca el alma y la escupe, como el vomito de un sapo. http://t.co/zSf0j6BJ
P	@rdelvalle, vaya, felicidades atrasadas y muchas gracias 
N	Off pensando en el regalito Sinde, la que se va de la SGAE cuando se van sus corruptos. Intento no sacar conclusiones (lo intento)
NONE	@darthmagnus85 @Will_1981 @En_Marea @mahou_es es tan evidente verdad? que no hacía falta... es cierto. 
N	España reconoce ya un proceso de negociación en Bruselas. No es posible cumplir el objetivo de déficit en 2012 estando en recesión
P	El ultimo gran servicio por la concordia en Espana de don Manuel Fraga http://t.co/2K7GzXR1 vía @Semanaldigital
NEU	"""La libertad, mal negocio"", el epílogo de #ePeriódico sobre la #TwitterCensura. http://t.co/6NGTkKXh"
N	Es irónico que el PSOE-A, que el 25-M puede sufrir el mayor batacazo de su historia, sea clave para resolver la pugna Rubalcaba-Chacón
P	Al huerto con una estrella Michelin #Malaga  http://t.co/JL5U6r38
NEU	@JuanMoscosodelP animo.y ojo
NONE	El exministro de Aznar, Pío Cabanillas, hijo del histórico Pío Cabanillas Gallas, sobre Fraga: Un gallego como tú. http://t.co/xDE4PxbG
P	"""@Labrujulacom: Desde nuestra pequeña agencia estamos deslumbrados por tu libro, we want more!! :) thanks xxx"" URwelcome!"
N	Mi mamá sólo decirme que estoy gorda
P	@FilarmonicaCR ¡Gracias! P.D. Sigan adelante con sus maravillosos trabajos. Quizá algún día un tributo a Soda Stereo jeje
NEU	Se vieneeeeela lluviaaaaa, es hora de ir a casa y yo que quería más chilcanos
NEU	Quiero demasiado el balde de pollo, cebolla y papas fritas de la Papería. Alguien lléveme
N	Ya casi me quitan los frenillos y no quiero aún los siento feos. Los necesito al menos un año más
N	Que viene insomnio? No!!!! Mañana a las 7!!!! #ohagoyogaoyanosequé
NEU	Bdías. Hoy ha tocado madrugar. Mi Carta de mañana será provocadora. Espero que os guste. ¿Qué os parece el primer Presupuesto de Rajoy?
P	#americanhorrorstory me está enganchando
NONE	Comienza la segunda jornada de la sesión de investidura de Rajoy
N	En @SextaNoticias estamos buscando a este estudiante agredido por un Policía en Valencia http://t.co/wJnwBuNO #Ayuda
N	Si no aclaras que lo que beben los futbolistas son bebidas isotónicas no eres nadie en el periodismo deportivo.
P	""" vamos un plan integral de conciliación para lograr la corresponsabilidad en el ámbito familiar"" @JuanMa_Moreno  http://t.co/spAzMgsz"
NEU	Eurovegas: críticas desmedidas hacia un proyecto a valorar    vÃ­a @elmundo_orbyt http://t.co/jn2T5KyN
N	#Presupuestos Y ahora cuenta Montoro algunas de las maneras baratitas que tendrán a su alcance los defraudadores para regularizar
P	http://t.co/QKuSDmGd” POLONIA D AYER. Primer gag, nuevo personaje : ARENAS!!;)
P	Buenas noches! En unas horas la rueda de prensa de @A3NumeroUno ! Hasta mañana!;-)
P	".@paugasol hace dos días:""Muchos rumores estos días... Yo me centro en el trabajo diario y en la ilusión de volver a jugar con mi equipo!”"
N	@lococamionero  Otra cosa es que no tuviera seguridad social, porqe no era obligatorio en su situacion. Lee, los libros no muerden 
P	Ronald Searle. Grande. http://t.co/Co6BIwg0
